id,title,overview,genres,keywords,director,cast,release_year,rating,runtime,budget,revenue
46,Crazy Dark,A thrilling story about humor and sheriff in a world of desert.,Comedy Music Western,humor desert concert jazz sheriff,Christopher Nolan,Amy Adams Tom Hanks Christian Bale Scarlett Johansson Robert Downey Jr. Matt Damon,1996,8.3,176,50682078.0,
47,Heroes of Silver,"When heist meets dragons, they must overcome conflict to save the day.",War Crime Fantasy,detective mythical strategy conflict dragons,Kathryn Bigelow,Scarlett Johansson Meryl Streep Matt Damon Will Smith,2016,6.7,142,,1823433472.0
48,The Storm Matrix,The story follows a hero dealing with journey while facing future and discovery.,Science Fiction Adventure,discovery future dystopia journey,Steven Spielberg,Lupita Nyong'o Tom Hanks Margot Robbie,2022,6.6,167,147458215.0,1900077481.0
49,Finding Silver,A thrilling story about tragedy and tragedy in a world of relationships.,Drama,relationships tragedy,Ryan Coogler,Robert Downey Jr. Emma Stone Natalie Portman Brad Pitt Amy Adams Margot Robbie,1998,4.2,86,198032772.0,1585325175.0
50,Storm and Friends,A journey through colorful where colorful leads to talking animals and beyond.,Animation,talking animals colorful,Chloé Zhao,Scarlett Johansson Meryl Streep Natalie Portman Michael Fassbender,2015,6.2,152,,1971839949.0
51,The Silent Connection,A journey through corruption where corruption leads to corruption and beyond.,Crime,murder corruption,Kathryn Bigelow,Robert Downey Jr. Lupita Nyong'o Amy Adams,2002,5.5,97,3222975.0,1853138138.0
52,The Shadow Story,A journey through laugh where period piece leads to period piece and beyond.,History Comedy,laugh period piece parody revolution,Kathryn Bigelow,Jennifer Lawrence Angelina Jolie Matt Damon,2013,8.8,97,185314901.0,555329482.0
53,The Golden Comedy,The story follows a hero dealing with satire while facing investigation and investigation.,Comedy Mystery,unknown investigation silly satire,Wes Anderson,Jennifer Lawrence Christian Bale Michael Fassbender Meryl Streep Amy Adams Tom Hanks,1998,8.7,124,58771358.0,713317834.0
54,The Silent Game,"When tension meets tension, they must overcome psychological to save the day.",Thriller,psychological tension,Chloé Zhao,Cate Blanchett Angelina Jolie Matt Damon Robert Downey Jr.,2004,9.2,95,179762064.0,
55,The Storm Prophecy,"When supernatural meets gunfight, they must overcome gunfight to save the day.",Fantasy Western Comedy,prophecy cowboys humor supernatural satire,Tim Burton,Angelina Jolie Meryl Streep Christian Bale Matt Damon Lupita Nyong'o Tom Hanks,2024,4.6,174,97096551.0,1847190599.0
56,Quest for Silent,An epic tale of exploration featuring journey and unexpected exploration.,Adventure,exploration journey,Jordan Peele,Cate Blanchett Ryan Gosling Meryl Streep Robert Downey Jr.,1994,6.0,127,143161088.0,1080801889.0
57,The Storm Story,"When children meets parody, they must overcome children to save the day.",Family Comedy,children parody wholesome humor,James Cameron,Jennifer Lawrence Robert Downey Jr. Margot Robbie Christian Bale Leonardo DiCaprio Scarlett Johansson,2023,6.8,88,112834061.0,1138179901.0
58,The Silver Adventure,A thrilling story about family and colorful in a world of colorful.,Animation,colorful family,Denis Villeneuve,Natalie Portman Meryl Streep Will Smith Scarlett Johansson Tom Hanks Leonardo DiCaprio,2008,7.6,143,,
59,The Wild Story,A thrilling story about horses and cowboys in a world of cowboys.,Western,cowboys horses,Martin Scorsese,Oscar Isaac Michael Fassbender Matt Damon Angelina Jolie Tom Hanks,2013,3.8,81,72319792.0,74725358.0
60,The Dark Nightmare,A journey through supernatural where fear leads to fear and beyond.,Horror,supernatural fear,David Fincher,Amy Adams Emma Stone Jennifer Lawrence Christian Bale Meryl Streep,2002,3.1,131,,
61,The Golden Conspiracy,A thrilling story about children and wholesome in a world of psychological.,Thriller Family,psychological suspense children wholesome,Chloé Zhao,Meryl Streep Angelina Jolie Michael Fassbender,2011,6.8,98,143507672.0,1400707480.0
62,Fire and Friends,"When cartoon meets cartoon, they must overcome cartoon to save the day.",Animation,fairy tale cartoon,Paul Thomas Anderson,Christian Bale Ryan Gosling Michael Fassbender,2015,3.4,145,,
63,The Fire Story,"When children meets silly, they must overcome silly to save the day.",Family Comedy,silly humor children values,Paul Thomas Anderson,Meryl Streep Emma Stone Christian Bale,2017,5.7,89,117786794.0,153062932.0
64,Future Bright,A journey through wholesome where wholesome leads to family and beyond.,Science Fiction Animation Family,family friendship technology wholesome aliens,Kathryn Bigelow,Scarlett Johansson Angelina Jolie Emma Stone Brad Pitt,2005,7.3,87,95773574.0,673702156.0
65,Magic of Shadow,A thrilling story about relationships and relationships in a world of family.,Animation Drama,tragedy colorful relationships family,Ryan Coogler,Michael Fassbender Oscar Isaac Will Smith Natalie Portman Leonardo DiCaprio Brad Pitt,2010,3.1,111,71089216.0,1542994728.0
66,Magic of Crystal,The story follows a hero dealing with fairy tale while facing family and fairy tale.,Animation,fairy tale family,Ari Aster,Matt Damon Christian Bale Emma Stone Meryl Streep Natalie Portman Oscar Isaac,1994,6.4,177,35644096.0,321222019.0
67,The Silent Affair,"When technology meets tension, they must overcome chase to save the day.",Romance Thriller Science Fiction,space love chase technology relationship,Christopher Nolan,Will Smith Jennifer Lawrence Tom Hanks Natalie Portman Christian Bale,2019,4.1,82,,603073343.0
68,The Storm Story,A thrilling story about revolution and rock in a world of singing.,Music History,rock revolution singing ancient,Martin Scorsese,Scarlett Johansson Lupita Nyong'o Robert Downey Jr.,1991,6.6,135,163554069.0,1369087437.0
69,The Shadow Story,A journey through tension where tension leads to classical and beyond.,Music Thriller,musical suspense tension classical,Tim Burton,Michael Fassbender Natalie Portman Scarlett Johansson Christian Bale Brad Pitt Will Smith,2006,7.5,154,158210398.0,1289952456.0
70,The Wild Story,An epic tale of nature featuring laugh and unexpected biography.,Documentary Comedy,biography nature romantic comedy laugh,Coen Brothers,Michael Fassbender Christian Bale Margot Robbie Brad Pitt Oscar Isaac Tom Hanks,1995,8.0,101,52088137.0,777962689.0
71,The Crystal Story,The story follows a hero dealing with friendship while facing historical and biography.,History Family Music,historical biography friendship concert values,Wes Anderson,Scarlett Johansson Emma Stone Margot Robbie Brad Pitt Angelina Jolie Natalie Portman,2016,5.6,84,174090163.0,773837816.0
72,Future Fire,A thrilling story about technology and technology in a world of dating.,Science Fiction Romance Action,passion dating hero weapons future,James Cameron,Oscar Isaac Meryl Streep Tom Hanks,1999,6.9,96,,
73,Life of Golden,A thrilling story about supernatural and silly in a world of humor.,Comedy Fantasy,supernatural humor silly mythical,Ridley Scott,Meryl Streep Leonardo DiCaprio Jennifer Lawrence Lupita Nyong'o,1993,3.4,150,,1313575833.0
74,The Storm Story,An epic tale of war featuring war and unexpected ancient.,History Drama,ancient relationships family war,Christopher Nolan,Emma Stone Meryl Streep Robert Downey Jr. Angelina Jolie Margot Robbie Lupita Nyong'o,2010,4.0,142,153370367.0,1013151175.0
75,Journey to Bright,"When exploration meets wizards, they must overcome exploration to save the day.",Adventure Fantasy,dragons exploration discovery wizards,Steven Spielberg,Christian Bale Scarlett Johansson Ryan Gosling,1992,7.3,112,,1075717356.0
76,Love in Bright,A journey through soldiers where military leads to tragedy and beyond.,Romance Drama War,military soldiers heartbreak passion character study,Chloé Zhao,Michael Fassbender Robert Downey Jr. Brad Pitt,2017,7.9,141,195809694.0,
77,Mission: Storm,"When soldiers meets soldiers, they must overcome weapons to save the day.",Action War,military soldiers combat weapons,Steven Spielberg,Will Smith Robert Downey Jr. Cate Blanchett Michael Fassbender Brad Pitt,1991,4.7,112,70327894.0,898089830.0
78,The Shadow Story,"When saloon meets friendship, they must overcome wholesome to save the day.",Family Western,sheriff friendship saloon wholesome,Greta Gerwig,Ryan Gosling Scarlett Johansson Tom Hanks Jennifer Lawrence Oscar Isaac Lupita Nyong'o,2015,6.1,111,173734668.0,
79,Realm of Golden,"When concert meets magic, they must overcome concert to save the day.",Fantasy Drama Music,coming of age character study magic singing concert,Ari Aster,Robert Downey Jr. Angelina Jolie Scarlett Johansson Margot Robbie Natalie Portman,2018,3.5,169,,1763061346.0
80,Night of Golden,A journey through supernatural where supernatural leads to ghost and beyond.,Horror,supernatural ghost,James Cameron,Natalie Portman Oscar Isaac Angelina Jolie Scarlett Johansson Ryan Gosling Amy Adams,2012,9.0,134,93802152.0,
81,Crazy Golden,A thrilling story about romantic comedy and parody in a world of weapons.,Comedy Fantasy Action,chase romantic comedy dragons weapons parody,David Fincher,Matt Damon Ryan Gosling Tom Hanks Christian Bale Leonardo DiCaprio Amy Adams,2023,4.3,100,,905784981.0
82,The Fire Horror,A journey through ghost where monster leads to monster and beyond.,Horror,ghost monster,David Fincher,Natalie Portman Brad Pitt Emma Stone Jennifer Lawrence,2020,4.3,131,,1471604043.0
83,The Golden Story,A thrilling story about adventure and future in a world of future.,Family Science Fiction Animation,magical future space adventure children,Wes Anderson,Margot Robbie Leonardo DiCaprio Christian Bale Michael Fassbender,2003,9.4,147,,537683895.0
84,Heart of Crystal,A journey through war where war leads to character study and beyond.,Drama History,period piece character study war coming of age,Chloé Zhao,Oscar Isaac Leonardo DiCaprio Cate Blanchett Matt Damon Meryl Streep,2024,3.3,106,32298813.0,1785256789.0
85,The Bright Story,A thrilling story about colorful and interview in a world of discovery.,Documentary Animation Adventure,discovery colorful interview truth treasure,Coen Brothers,Ryan Gosling Oscar Isaac Scarlett Johansson Christian Bale,2013,5.3,173,,
86,The Dark Story,A journey through biography where biography leads to biography and beyond.,Documentary,truth biography,Coen Brothers,Christian Bale Jennifer Lawrence Matt Damon,2003,6.4,129,,865995978.0
87,The Wild Game,"When suspense meets psychological, they must overcome silly to save the day.",Thriller Comedy,parody silly psychological suspense,Coen Brothers,Matt Damon Jennifer Lawrence Will Smith Michael Fassbender,1996,5.2,103,73947586.0,
88,Edge of Silver,The story follows a hero dealing with conspiracy while facing suspense and suspense.,Thriller,suspense conspiracy,James Cameron,Brad Pitt Matt Damon Amy Adams,2022,9.2,122,126440380.0,773070391.0
89,The Wild Story,"When period piece meets period piece, they must overcome military to save the day.",History Crime War,war military heist period piece criminal,Jordan Peele,Jennifer Lawrence Scarlett Johansson Will Smith Robert Downey Jr.,2011,4.6,154,197350707.0,1565146246.0
90,Edge of Ancient,An epic tale of conspiracy featuring danger and unexpected danger.,Thriller,conspiracy danger,Chloé Zhao,Emma Stone Oscar Isaac Leonardo DiCaprio,2001,5.4,129,,338992347.0
91,Crazy Dark,"When satire meets edge, they must overcome tension to save the day.",Comedy Western Thriller,parody edge satire horses tension,Quentin Tarantino,Natalie Portman Oscar Isaac Margot Robbie,2017,9.0,175,160897136.0,
92,The Golden Story,"When biography meets horses, they must overcome horses to save the day.",Documentary Animation Western,magical biography horses sheriff talking animals,Chloé Zhao,Matt Damon Jennifer Lawrence Leonardo DiCaprio Natalie Portman Tom Hanks Amy Adams,2011,7.7,153,5412930.0,1083266699.0
93,The Dark Story,The story follows a hero dealing with funny while facing cartoon and saloon.,Western Animation Comedy,funny saloon satire magical cartoon,Ryan Coogler,Amy Adams Michael Fassbender Jennifer Lawrence,2015,8.6,140,61216398.0,164600931.0
94,Planet Crystal,A thrilling story about truth and jazz in a world of jazz.,Science Fiction Documentary Music,time travel nature truth jazz rock,James Cameron,Ryan Gosling Will Smith Brad Pitt Michael Fassbender,1999,7.1,93,,488566651.0
95,Dark Crystal,"When heist meets quest, they must overcome quest to save the day.",Crime Adventure,police quest heist exploration,Denis Villeneuve,Tom Hanks Michael Fassbender Will Smith,1993,4.9,88,17534484.0,
96,The Bright Story,The story follows a hero dealing with values while facing friendship and friendship.,Family Science Fiction,space friendship values time travel,James Cameron,Ryan Gosling Tom Hanks Meryl Streep Amy Adams Matt Damon Emma Stone,2013,3.3,118,91926597.0,1292383328.0
97,The Dark Story,A journey through nature where real life leads to gunfight and beyond.,Documentary Western,gunfight frontier nature real life,Christopher Nolan,Amy Adams Oscar Isaac Jennifer Lawrence Emma Stone Michael Fassbender Robert Downey Jr.,1997,4.6,82,11401747.0,
98,Blood Storm,"When heist meets heist, they must overcome detective to save the day.",Crime,heist detective,Paul Thomas Anderson,Margot Robbie Meryl Streep Angelina Jolie Lupita Nyong'o Emma Stone Christian Bale,2004,5.7,172,63266071.0,1180981521.0
99,The Storm Code,A thrilling story about historical and historical in a world of biography.,Thriller Documentary History,biography interview historical danger conspiracy,Ari Aster,Christian Bale Robert Downey Jr. Margot Robbie Oscar Isaac,1993,7.5,174,193815648.0,
100,Secret Files,A journey through investigation where corruption leads to corruption and beyond.,Crime,investigation corruption,Greta Gerwig,Natalie Portman Matt Damon Scarlett Johansson,2011,3.8,86,193853628.0,1165403418.0
101,Night of Wild,"When scary meets victory, they must overcome silly to save the day.",Horror Comedy War,ghost silly humor scary strategy,Ryan Coogler,Ryan Gosling Lupita Nyong'o Robert Downey Jr.,2002,7.1,150,83778179.0,
102,The Wild Story,The story follows a hero dealing with war while facing detective and danger.,History Thriller Mystery,war investigation detective period piece danger,Ridley Scott,Lupita Nyong'o Tom Hanks Natalie Portman,1992,8.4,103,,518559915.0
103,The Shadow Code,A journey through chase where tension leads to tension and beyond.,Thriller Horror Romance,marriage heartbreak tension chase supernatural,Quentin Tarantino,Angelina Jolie Jennifer Lawrence Tom Hanks Lupita Nyong'o Robert Downey Jr.,2021,8.1,97,44915212.0,
104,The Crystal Show,An epic tale of corruption featuring corruption and unexpected laugh.,Comedy Crime,romantic comedy corruption laugh murder,Coen Brothers,Natalie Portman Cate Blanchett Christian Bale Jennifer Lawrence,2002,8.1,156,115237466.0,
105,Legends of Dark,An epic tale of mythical featuring wizards and unexpected mythical.,Fantasy Science Fiction,space mythical future wizards,Ari Aster,Jennifer Lawrence Margot Robbie Michael Fassbender Amy Adams Meryl Streep Robert Downey Jr.,1992,3.8,96,29074566.0,339660114.0
106,The Silver Story,The story follows a hero dealing with robots while facing jazz and time travel.,Music Science Fiction,time travel robots rock jazz,Wes Anderson,Cate Blanchett Emma Stone Margot Robbie Natalie Portman Oscar Isaac,2013,3.1,102,,
107,Journey to Bright,The story follows a hero dealing with cowboys while facing aliens and discovery.,Adventure Science Fiction Western,aliens space discovery survival desert,Denis Villeneuve,Scarlett Johansson Jennifer Lawrence Angelina Jolie Robert Downey Jr.,2014,4.6,101,22452463.0,32044696.0
108,The Golden Story,A journey through humor where secret leads to humor and beyond.,Mystery Comedy,humor detective silly secret,Tim Burton,Ryan Gosling Scarlett Johansson Natalie Portman,2003,6.2,107,,
109,The Bright Horror,A journey through scary where scary leads to supernatural and beyond.,Horror Fantasy,scary wizards prophecy supernatural,Chloé Zhao,Amy Adams Lupita Nyong'o Christian Bale,1994,7.3,127,,260123652.0
110,The Last Silent,The story follows a hero dealing with explosion while facing police and police.,Action Crime Adventure,police survival combat discovery explosion,Wes Anderson,Emma Stone Ryan Gosling Lupita Nyong'o Margot Robbie,1991,8.8,104,43721026.0,360948165.0
111,The Wild Prophecy,A thrilling story about supernatural and supernatural in a world of magic.,Fantasy Comedy,supernatural humor laugh magic,Wes Anderson,Ryan Gosling Scarlett Johansson Cate Blanchett Oscar Isaac,1993,8.9,132,124282431.0,1009083839.0
112,The Silver Nightmare,A journey through exotic where survival leads to magic and beyond.,Horror Fantasy Adventure,supernatural magic haunted survival exotic,Wes Anderson,Brad Pitt Scarlett Johansson Amy Adams,2015,8.1,139,139170572.0,1671067943.0
113,The Secret Matrix,"When monster meets haunted, they must overcome time travel to save the day.",Science Fiction Horror Thriller,psychological monster time travel chase haunted,Jordan Peele,Matt Damon Leonardo DiCaprio Will Smith Margot Robbie Amy Adams Christian Bale,2023,6.7,161,163911944.0,1896381720.0
114,The Golden Connection,An epic tale of detective featuring psychological and unexpected detective.,Crime Thriller,danger corruption psychological detective,Steven Spielberg,Meryl Streep Amy Adams Oscar Isaac Jennifer Lawrence,1993,9.0,126,44548429.0,1071828056.0
115,Midnight Bright,An epic tale of robots featuring prophecy and unexpected supernatural.,Thriller Science Fiction Fantasy,supernatural robots psychological prophecy tension,Paul Thomas Anderson,Angelina Jolie Meryl Streep Scarlett Johansson Lupita Nyong'o,1994,7.4,118,194109296.0,
116,The Bright Story,"When children meets friendship, they must overcome children to save the day.",Family Drama,character study friendship relationships children,Wes Anderson,Brad Pitt Jennifer Lawrence Leonardo DiCaprio Will Smith,1991,7.9,139,148395168.0,1593496478.0
117,The Fire Show,A thrilling story about dragons and dragons in a world of sacrifice.,Comedy War Fantasy,funny sacrifice mythical dragons romantic comedy,James Cameron,Cate Blanchett Tom Hanks Jennifer Lawrence Scarlett Johansson Margot Robbie Emma Stone,1995,8.8,173,,
118,Wild and Friends,An epic tale of colorful featuring colorful and unexpected colorful.,Animation,colorful family,Ridley Scott,Cate Blanchett Angelina Jolie Jennifer Lawrence,2022,8.6,175,23600755.0,792574882.0
119,The Dark Curse,A journey through haunted where supernatural leads to supernatural and beyond.,Horror,supernatural haunted,Ridley Scott,Angelina Jolie Scarlett Johansson Brad Pitt,2024,8.1,108,,260245399.0
120,The Crystal Protocol,A journey through fight where chase leads to fight and beyond.,Action,fight chase,Ridley Scott,Lupita Nyong'o Michael Fassbender Meryl Streep Amy Adams Leonardo DiCaprio Oscar Isaac,2008,3.1,142,19102529.0,1563645195.0
121,Finding Wild,The story follows a hero dealing with relationships while facing tragedy and relationships.,Drama,relationships tragedy,James Cameron,Cate Blanchett Matt Damon Natalie Portman,1997,8.6,176,59618166.0,1267245037.0
122,The Secret War,An epic tale of soldiers featuring medieval and unexpected medieval.,War Fantasy,sacrifice supernatural soldiers medieval,Christopher Nolan,Michael Fassbender Angelina Jolie Will Smith,2016,4.9,122,154996961.0,
123,Mission: Silver,A thrilling story about fight and fight in a world of combat.,Action,fight combat,Tim Burton,Matt Damon Angelina Jolie Cate Blanchett Christian Bale Robert Downey Jr.,2000,5.9,177,79526957.0,986160565.0
